# Ordem,Estado,Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,# ofertas
0142,Em recuperação,15,Açores,"350,000-500,000","500,000-1,500,000",15000,B+,36,24.0,0.0549,0.0662553168670641,103
0143,Pago,47,Estremadura e Ribatejo,"100,000 - 350,000","100,000 - 350,000",15000,B-,24,24.0,0.0708,0.07131078175671908,171
0144,Regular,9,Lisboa,">=1,500,000","500,000-1,500,000",20000,B,36,29.0,0.0649,0.06716078067599726,191
0145,Regular,16,Beira Litoral,"100,000 - 350,000","500,000-1,500,000",20000,C,36,29.0,0.0999,0.10074916039942766,187
0146,Pago,29,Beira Litoral,"500,000-1,500,000",">=1,500,000",20000,B+,24,24.0,0.0509,0.05581417236091262,195
0147,Pago,30,Minho e Douro Litoral,">=1,500,000",">=1,500,000",25000,B-,24,24.0,0.0708,0.08257069025673598,272
0148,Pago,11,Estremadura e Ribatejo,"500,000-1,500,000","350,000-500,000",20000,B-,24,24.0,0.0708,0.07077065680855579,226
0149,Pago,26,Beira Interior,"100,000 - 350,000","100,000 - 350,000",20000,B+,24,24.0,0.0509,0.05858399664585405,180
0150,Pago,40,Minho e Douro Litoral,">=1,500,000","500,000-1,500,000",18000,C,24,24.0,0.0959,0.09589777818808498,128
0151,Incobrável,15,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",20000,B-,24,9.0,0.0708,0.07079012616882734,198
0152,Pago,17,Alentejo,"100,000 - 350,000","350,000-500,000",10000,B-,24,24.0,0.0708,0.0707982003074599,114
0153,Pago,7,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",10000,C,24,24.0,0.0959,0.09557943346884223,96
0154,Pago,19,Beira Interior,"100,000 - 350,000","500,000-1,500,000",10000,B-,24,24.0,0.0708,0.0707999999999882,74
0155,Pago,20,Açores,"500,000-1,500,000","500,000-1,500,000",15000,B+,24,24.0,0.0509,0.050901366708062695,111
0156,Pago,5,Estremadura e Ribatejo,"350,000-500,000","350,000-500,000",20000,B,24,24.0,0.0609,0.07148108040443624,180
